Course Code,Department Name,Course Description,Course Catalog Description,Credits and Level,Special Program Description
H12052,Social Studies,AP World History: Modern(Sr),"This college-level course is designed to provide students with an understanding of World History from the 1200 to the present.  This is a survey course that will offer a broad history of modern world history.  In this class we will focus on the perspectives of the rest of the world rather than viewing history through a Western-centric lens.  This rigorous and demanding course will not only offer the students a stimulating challenge but also will offer the possibility of exemption from a college course and facilitate the student's transition from secondary school to college. There will be a summer assignment that will help students to get a head start on the type of learning we will focus on in this class. Students choosing to take Advanced Placement World History in Grade 11 must also enroll in Honors or Academic Global Studies, a required course for all Juniors.

Summer Assignment
Students will be required to complete a summer assignment. Approximate time: Students should expect to spend 10-20 hours on this work between June and September. 

IMPORTANT:  Students enrolling in Advanced Placement Courses must have their parent or guardian complete the Advanced Placement Request form in Genesis.  Refer to the Guidelines for Scheduling
Advanced Placement (AP)Learn all about the course and exam","Credits: 5.0
Grade Levels: 12:
Additional GPA Weight: AP/College 1.0","No Prerequisites
Course Highlights:
Land-Based Empires
Revolutions
Consequences of Industrialization
Global Conflict
Cold War and Decolonization
Globalization"
H12031,Social Studies,Child Psychology,"This course provides a comprehensive exploration of child development and educational psychology, examining how children grow and learn from prenatal stages through adolescence. Students will delve into key developmental theories by pioneers such as Freud, Erikson, and Skinner while exploring the interplay between biology and the environment, including the impacts of poverty, cultural influences, and environmental factors. 

The course emphasizes understanding physical, cognitive, socio-emotional, and cultural development alongside learning styles and instructional strategies that foster growth. Students will study the design of effective educational experiences, assessment techniques, and the role of collaboration in supporting a child's progress. Hands-on opportunities, such as working in a Pre-K program and Elementary School classrooms, will allow students to apply theoretical knowledge in real-world settings. 

By critically analyzing educational practices and societal issues, students will gain insights into creating supportive learning environments and preparing for careers in teaching, counseling, or other related fields. This course empowers students to bridge psychological research with practical application, shaping their ability to positively impact children's development.","Credits: 5.0
Grade Levels: 10:11:12:",No Prerequisites
H12087,Social Studies,Crime and Justice in America,"Crime and Justice in America explores the complexities of the American criminal justice system through a lens of historical and modern cases. From the challenges of modern policing to the intricacies of trial practice, you'll delve into high-profile trials like the O.J. Simpson case and consider the impact of media, race, and class biases on verdicts. You'll also be introduced to infamous true crime cases, such as the Menendez Brothers, the Manson Family murders and the JonBenet Ramsey case. Throughout the course of the year, students will be introduced to careers at every level of the American justice system. Students will be encouraged to participate in activities, such as mock trials, and produce authentic and creative work. Learners of all levels, who have a sincere interest in this topic, can be successful in Crime and Justice in America.","Credits: 2.5
Grade Levels: 11:12:","No Prerequisites
Course Highlights:
Criminal Law and Procedure
Examination of O.J Simpson Trial
Mock Trials and Simulations
Examine the role of Police in America
Explore Criminal Justice Reform
Introduce Careers in the American Justice System"
H12058,Social Studies,History Through Film,"Informational Flyer

This course will focus on two major themes: how film portrays historical events and how films reflect the society in which they are made. Students will view films from selected united (in their entirety or selected excerpts) about the United States during the 20th century and early 21st century. The class will discuss issues involving historical films such as how filmmakers take ideas from history, how a film can 'rewrite history', and how filmmakers shape a narrative. Students will understand how a message can be manipulated by different forms of media for a particular purpose. Students will also discuss and write about how films can reflect the values of an era and how films may help shape an era. Students will utilize and analyze information from a variety of media sources, both online and print, including primary and secondary texts, individual research, critical essays, and selected visual materials. By the end of the year students will be able to identify changing views of key events in U.S. history and how the film industry portrayed them.","Credits: 2.5
Grade Levels: 11:12:","No Prerequisites

Course Highlights:
Technology 
Pop Culture
War and Peace 
Examine the immigrant experience"
H12097,Social Studies,Honors American Experiment: Democracy in Action,"This is a challenging and advanced course, which focuses on developing skills in analyzing, writing, researching, and note-taking related to Social Studies content. This course is required for all ninth graders and provides students with a strong foundation in the U.S. Constitution including, the structure and function of government; the role of government in a capitalist economic system; elections and the political process; The Bill of Rights; and the social justice movements that seek to protect the rights of all citizens. Assessments will include projects, debates, Socratic Seminars, essays, current events, and tests. This course prepares students for standardized tests, and college and career readiness and involves content vocabulary and analysis, group projects, oral presentations, and research projects. Students are expected to complete expository essays, extensive homework regularly, and two research projects per quarter and participate in class activities. There is extensive independent research, as well as work outside of class to prepare for major assessments.","Credits: 5.0
Grade Levels: 09:
Additional GPA Weight: Honors 0.5","Prerequisites:
Placement for all levels of American Government is determined by a multitude of criteria
Course Highlights:
Creation of the Constitution
Political Spectrum & Election Process
Functioning of US Constitution
Bill of Rights
Expanding Rights for African Americans (1865-1954)
Political Action Movements"
H12062,Social Studies,Honors Global Studies,"Global Studies is a college preparatory level course. It is designed to develop a student's ability to read independently, think critically and successfully complete research projects. This course is required for all 11th graders. Global Studies focuses on the recent political, social and economic developments that shape the modern world. Students will understand and appreciate: the beliefs and practices of world religions and cultures; the work of the U.N. and other world institutions; the effects of globalization, outsourcing, child labor and human exploitation; the causes of genocide; the structure of various government and economic systems; and the effects of nationalism, imperialism, and colonialism. Students will also study the geography, history, and literature of several world regions to enhance their understanding of recent events.","Credits: 5.0
Grade Levels: 11:12:
Additional GPA Weight: Honors 0.5","Prerequisites:
80% or better in Honors U.S. History or 80% or better in AP US History or 90 % or better in Academic U.S. History
Course Highlights:
Culture/Religion
World Organizations
Middle East
Africa
Russia
China & East Asia
South Asia"
H12059,Social Studies,"Honors Race, Class, Gender and LGBT History","This section meets at the same time as the non-weighted course, however, students signing up for this weighted section will receive extra work that prepares them to take AP African American Studies. This includes assignments related to data and document analysis, extra readings, and other work that targets specific skills for AP African American Studies

Slideshow
Race, class, and gender are parts of American society. This course is designed to examine the historical and contemporary impact of the aforementioned issues on American society. Discussions will explore the roots of historical issues such as slavery, racial discrimination, gender roles, socioeconomic consequences of industrialization, and will relate these to current society. Class activities will include but are not limited to, Socratic Seminar discussions, image/visual analysis, student presentations, examination of political speeches and field trips. Classes may view portions of Breakfast Club, Courage Under Fire, Do the Right Thing, Good Will Hunting, Hollywood Shuffle, Siege, and Whiteboyz.","Credits: 5.0
Grade Levels: 11:12:
Additional GPA Weight: Honors 0.5","No Prerequisites

Course Highlights:
Women's History and Gender Equality
Current Women's Rights
The history of the LGBTQ movement starting with Homophile Movement
Issues related to ethnic and religious intolerance
Socio-economic structures in America
Film and TV analysis
Origins of racial injustice in America"
H12027,Social Studies,Honors U.S. History,"Honors U.S. History is designed as a rigorous study of U.S. History. Students should have advanced reading and writing abilities and a strong interest and motivation to pursue a more challenging study of U.S. History. This course is required for all tenth graders and begins begins with Imperial America and World War I and continues through the 20th century to modern times. Political, social, economic, and geographic themes and events are studied, providing students with the opportunity to expand their reading, writing, and critical thinking skills.","Credits: 5.0
Grade Levels: 10:
Additional GPA Weight: Honors 0.5","Prerequisites:
90% or better in Academic Government 80% or better in Honors American Government
Course Highlights:
World War 1
The Roaring 20's 
The Great Depression
World War 2
The Cold War
Civil Rights Movements
9/11 and Terrorism"
H12034,Social Studies,Human Behavior,"Informational Flyer
This course serves as an introduction to the study of human behavior and experience. Students develop insights into behavior and experience from prenatal development through adolescence and maturity. Contemporary psychology topics include research, development (intellectual, social, emotional, personality), memory, perception, altered states of consciousness, learning, stress, and abnormal behavior. Students are encouraged to develop a deeper understanding of topics, and apply learning to their own experiences. Activities include classroom demonstrations, experiments, audiovisual presentations, and other projects. Students may also analyze films such as Memento and Girl Interrupted that address curricular issues.

Students will learn to analyze data, interpret research findings, and communicate their understanding through presentations, discussions, and written assignments. They will also collaborate with peers on projects and develop creative solutions to problems related to human behavior.
All are welcome to take this course. However, please note that it is required for the Future Teachers Academy, and there is more emphasis on child and adolescent issues. The course, though, could also serve as a bridge for those who are interested in eventually taking Advanced Placement Psychology, which is more rigorous and demanding, or who want to enter into other academies. Registrants should anticipate some reading demands.
For 10-12th grade students","Credits: 5.0
Grade Levels: 10:11:12:","No Prerequisites

Course Highlights:
Research Methods
The Brain
Freud, Sleep, and Dreams
Personality
Positive Psychology
Learning and Memory
Human Development
Social Psychology
Clinical Psychology and Therapy"
H12039,Social Studies,Human Behavior in the 21st Century,"This course serves as an introduction to the study of human behavior and experience. Students develop insights into behavior and experience from prenatal development through adolescence and maturity. Contemporary psychology topics include research, development (intellectual, social, emotional, personality), memory, perception, altered states of consciousness, learning, stress, and abnormal behavior. Students are encouraged to develop a deeper understanding of topics, and apply learning to their own experiences. Activities include classroom demonstrations, experiments, audiovisual presentations, and other projects. Students may also analyze films such as Memento and Girl Interrupted that address curricular issues.
This course emphasizes 21st-century skills such as critical thinking, communication, collaboration, and creativity. Students will learn to analyze data, interpret research findings, and communicate their understanding through presentations, discussions, and written assignments. They will also collaborate with peers on projects and develop creative solutions to problems related to human behavior.
All are welcome to take this course. However, please note that it is required for the Future Teachers Academy, and there is more emphasis on child and adolescent issues. The course, though, could also serve as a bridge for those who are interested in eventually taking Advanced Placement Psychology, which is more rigorous and demanding, or who want to enter into other academies. Registrants should anticipate some reading demands.
For 9th grade students only","Credits: 5.0
Grade Levels: 09:","No Prerequisites

Course Highlights:
Research Methods
The Brain
Freud, Sleep, and Dreams
Personality
Positive Psychology
Learning and Memory
Human Development
Social Psychology
Clinical Psychology and Therapy"
H12037,Social Studies,Military History,"Wars have been a major part of human competitive life since earliest times. How and why do wars start? What are the long and short-term social, political, economic and geographic effects? Can wars be avoided? Who really has been important in wars and why? Students taking this course are involved in seeking answers to these questions as well as studying military tactics and operations of the United States from the American Revolution to the conflicts of today. Special emphasis is placed on films, simulation games, and field trips as instructional experiences.","Credits: 5.0
Grade Levels: 11:12:","No Prerequisites

Course Highlights:
Basic Training
American Revolution
U.S. Civil War
World War One
World War Two
Vietnam
Middle East"
H12055,Social Studies,Pop Culture in US History,"More Information

This new social studies elective is designed to give students a new perspective on U.S. history. Students will be able to see how people actually lived their lives and how society has changed as well as make connections between their own lives and the lives of Americans before them. This course will consist of a decade by decade look at how American society and culture evolved from the birth of the nation to the present day. Themes of study will include: art, literature, news, technology, speeches, sports, music, film, TV, radio, print-media, theater, and fashion. Students taking the course will engage in meaningful and relevant historical examinations and discussions. This course will allow students to better understand how pop culture has shaped the country and the world that they live in.","Credits: 2.5
Grade Levels: 11:12:","No Prerequisites

Course Highlights:
View popular films from US History
Understand the impact of everything from 1920's flappers to 'meme culture' in 2024
Explore important social movements
Examine fashion trends!"
H12054,Social Studies,"Race, Class, Gender and LGBT History","Slideshow
Race, class, and gender are parts of American society. This course is designed to examine the historical and contemporary impact of the aforementioned issues on American society. Discussions will explore the roots of historical issues such as slavery, racial discrimination, gender roles, socioeconomic consequences of industrialization, and will relate these to current society. Class activities will include but are not limited to, Socratic Seminar discussions, image/visual analysis, student presentations, examination of political speeches and field trips. Classes may view portions of Breakfast Club, Courage Under Fire, Do the Right Thing, Good Will Hunting, Hollywood Shuffle, Siege, and Whiteboyz.","Credits: 5.0
Grade Levels: 11:12:","No Prerequisites

Course Highlights:
Women's History and Gender Equality
Current Women's Rights
The history of the LGBTQ movement starting with Homophile Movement
Issues related to ethnic and religious intolerance
Socio-economic structures in America
Film and TV analysis
Origins of racial injustice in America"
H12056,Social Studies,Sociology,"More Information

This course will examine topics in sociology. Sociologists are interested in trying to describe the influence of society on human behavior and, in turn, the influence of human behavior on society. The principal objective of this course is not just to learn facts, but to introduce students to the sociological perspective, a new way of looking at and understanding the world. The sociological perspective will be used in a number of ways to tackle a range of issues involving inequality, socialization, race, class, gender, marriage and family, and culture.","Credits: 2.5
Grade Levels: 11:12:","No Prerequisites

Course Highlights:
Theoretical Perspectives
Scientific method
Culture
Socialization
Gender
Social Class
Race"
H10034,Social Studies,Student Leadership I,"The Student Leadership course is intended to promote the leadership growth of Student Council officers. The course is designed around the proven successful business principles of reward and recognition, teamwork, quality, and leadership. The students will have the opportunity to address the particular needs of the high school through participation in parliamentary procedures by running monthly student senate meetings. In addition, the officers will plan and execute celebrations, events, and traditions that will be open to the entire school community.  A clearer understanding of what it takes to become a successful leader is studied. Much time is devoted to introspective exercises dealing with the habits of effective leaders through the development of communication skills, listening skills, time management, relationship building, and networking. Strong principles and honor are emphasized and encouraged. In Student Leadership II and III, officers will be required to develop their leadership skills further and will be required to complete a research project. *This course is required for all Student Council officers.","Credits: 5.0
Grade Levels: 10:11:12:","Prerequisites: Students must be elected or selected Student Council officers for the upcoming school year. 
Course Highlights:
Leadership Training
Public Speaking
Parliamentary Procedure
NJASC Conventions
Networking Opportunities"
H10040,Social Studies,Student Leadership II,"The Student Leadership course is intended to promote the leadership growth of Student Council officers. The course is designed around the proven successful business principles of reward and recognition, teamwork, quality, and leadership. The students will have the opportunity to address the particular needs of the high school through participation in parliamentary procedures by running monthly student senate meetings. In addition, the officers will plan and execute celebrations, events, and traditions that will be open to the entire school community.  A clearer understanding of what it takes to become a successful leader is studied. Much time is devoted to introspective exercises dealing with the habits of effective leaders through the development of communication skills, listening skills, time management, relationship building, and networking. Strong principles and honor are emphasized and encouraged. In Student Leadership II and III, officers will be required to develop their leadership skills further and will be required to complete a research project. *This course is required for all Student Council officers.","Credits: 5.0
Grade Levels: 10:11:12:","Prerequisites: Students must be elected or selected Student Council officers for the upcoming school year. 
Course Highlights:
Leadership Training
Public Speaking
Parliamentary Procedure
NJASC Conventions
Networking Opportunities"
H10042,Social Studies,Student Leadership III,"The Student Leadership course is intended to promote the leadership growth of Student Council officers. The course is designed around the proven successful business principles of reward and recognition, teamwork, quality, and leadership. The students will have the opportunity to address the particular needs of the high school through participation in parliamentary procedures by running monthly student senate meetings. In addition, the officers will plan and execute celebrations, events, and traditions that will be open to the entire school community.  A clearer understanding of what it takes to become a successful leader is studied. Much time is devoted to introspective exercises dealing with the habits of effective leaders through the development of communication skills, listening skills, time management, relationship building, and networking. Strong principles and honor are emphasized and encouraged. In Student Leadership II and III, officers will be required to develop their leadership skills further and will be required to complete a research project. *This course is required for all Student Council officers.","Credits: 5.0
Grade Levels: 10:11:12:
Additional GPA Weight: Honors 0.5","Prerequisites: Students must be elected or selected Student Council officers for the upcoming school year. 
Course Highlights:
Leadership Training
Public Speaking
Parliamentary Procedure
NJASC Conventions
Networking Opportunities"
H12099,Social Studies,The American Experiment: Democracy in Action,"The American Experiment: Democracy in Action is a college preparatory level course. It is designed for those students with developed skills in reading comprehension, writing, research, note taking and organization. This course is required for all ninth graders and provides students with a strong foundation in the U.S. Constitution including: the structure and function of government; the role of government in a capitalist economic system; elections and the political process; The Bill of Rights; and the social justice movements that seek to protect the rights of all citizens. Assessments will include projects, essays, and tests.","Credits: 5.0
Grade Levels: 09:","Prerequisites: 
Placement for all levels of American Government is determined by a multitude of criteria
Course Highlights: 
Creation of the Constitution
Political Spectrum & Election Process
Functioning of US Constitution
Bill of Rights
Expanding Rights for African Americans (1865-1954)
Political Action Movements
Macroeconomic"
H12111,Social Studies,The Vietnam Era- Semester,"Website

This course will explore how The Vietnam War changed the way America viewed itself and its role in the world. It continues to impact American culture, foreign policy, and military engagement. This will be examined from multiple perspectives, using a variety of sources which include primary sources, fiction, non-fiction, poetry, music, and film. ( We Were Soldiers, Platoon, Good Morning Vietnam, Hamburger Hill, and Born on the 4th of July and others may be shown). Vietnam veterans will provide firsthand accounts of what it meant to serve in one's country. The course also analyzes the lasting impact that the Vietnam Era had on the way in which the U.S. wages modern wars. Veterans of Iraq and Afghanistan may be invited to share their experiences. A trip to the NJ Vietnam Memorial and Education Center may also be planned.","Credits: 2.5
Grade Levels: 11:12:","No Prerequisites

Course Highlights:
Veteran Speakers
NJVVMF Field Trip
1968 Research Project
Vietnam veteran podcasts
POW research project"
H19001,Technology,Advanced Engineering Drawing,"This course builds on the concepts and skills learned in Engineering Drawing I. Students will be introduced to 3D CAD software to develop 3D designs. Using their board drawing and 2D CAD knowledge from Engineering Drawing I, in addition to their new knowledge of 3D CAD, students will participate in several design experiences. Rapid prototyping equipment such as 3D printers and laser engravers will be introduced to prototype students' designs. Students will learn how to set up, use, and troubleshoot this equipment.","Credits: 2.5
Grade Levels: 10:11:12:","Prerequisites: Engineering Drawing I
Course Highlights:
3D CAD: Onshape
Rapid Prototyping
Design Loop
Universal Design
Client Based Design
Product Development"
H19046,Technology,Advanced Video Production Technology,"Experienced students will be asked to further their understanding of video production by producing programming for the Viking Television Network. Students will learn more advanced theories in television technology, as well as practice more in-depth digital video editing. The understanding of managing a live broadcast television station will be exercised. Students' technical and creative abilities will be put to the test.","Credits: 5.0
Grade Levels: 10:11:12:","Prerequisites: Video and Communications or 21st Century Video & Communications
Course Highlights:
Adobe Creative Cloud Apps
On location
Industry-standard digital editing software
Foley Artist/Sound FX creation
Videography creativity/special FX
Informative news packages
Interviewing techniques
Social Media Impact"
H19196,Technology,Architecture I,"This course will introduce students to the fundamentals of the design process and methods of problem-solving as they relate to architecture. Emphasis will be placed on residential structures; each student will design a home to include floor plans, elevations, and a model. Fundamentals of Computer-Aided Drafting and Design (CADD) will be utilized. Students will use traditional modeling techniques as well as rapid prototyping equipment, such as laser engravers, to produce their designs.","Credits: 5.0
Grade Levels: 10:11:12:","No Prerequisites
Course Highlights:
Architectural Styles
Elevation Drawing
Sleeping Area
1 Pt Perspective Drawing
Living Area
2 Pt Perspective Drawing
Service Area
3D Modeling"
H19197,Technology,Architecture II,"This course will explore nontraditional structures, abstracts, and the creative process of design via famous buildings. The focus will be an exploration of design styles and practices by famous architects. Students will get involved with drafting and drawing, designing, and modeling techniques with a variety of materials while preparing college portfolio pieces drawing inspiration from these architects. Students will use traditional modeling techniques as well as rapid prototyping equipment, such as 3D printers and laser engravers, to produce their designs.","Credits: 5.0
Grade Levels: 10:11:12:","Prerequisites: Architecture 1
Course Highlights:
Design Elements
Famous Architects
Global Architecture
3D Modeling
Freeform Sketching
Unconventional Models
Various Artistic Forms"
H19103,Technology,Architecture In The 21st Century,"Within the context of Architecture, students will learn to communicate, connect and collaborate in a dynamic global society. Students will become logical thinkers by following the design loop process, emphasizing knowledgeable reason and problem-solving proficiency. Students will become effective communicators, successful in a multi-tasking society, effective time managers, and technologically organized. Students will participate in several design challenges to produce appropriate architectural designs through computer-aided software.","Credits: 5.0
Grade Levels: 09:","No Prerequisites
Course Highlights:
Design Loop
Architectural Styles
Career Exploration
Architectural Sketching
CAD Software
Apartment Complex"
H19195,Technology,Digital Design and Prototyping,"This course will allow students to explore and troubleshoot various prototyping techniques. Students will be introduced to different computer software to develop designs. Students will be challenged to design and manufacture products for SBHS using the equipment learned. Rapid prototyping equipment such as 3D printers, laser engravers, and vinyl cutters will be introduced to prototype students' designs. Students will learn how to set up, use, and troubleshoot this equipment.

Digital Design and Prototyping","Credits: 5.0
Grade Levels: 10:11:12:","No Prerequisites
Course Highlights:
3D Printing
Laser Engraving
Laser Cutting
Vinyl Cutting
Prototype Development"
H19016,Technology,Electronics & Robotics,"This is a design and problem-solving course. Students will draw connections to math, science, engineering, and technology while studying the principles of electricity, structures, mechanisms, and programming. The course will culminate with the implementation of automated robots to solve real-world problems. A hands-on approach to the design process will enhance learning.","Credits: 5.0
Grade Levels: 10:11:12:","No Prerequisites
Course Highlights:
Basics of Electronics
Simple Circuit Design
Vehicle LED Systems
Electromagnets and Motors
How to Measure Using Multimeters
Electronics Vehicle Designs
Basic Computer Programming (C++)
Arduino Circuit Programming"
H19000,Technology,Engineering and Construction Drawing,"This course is designed for any student with an interest in learning how to communicate technically through drawings. Students will learn to produce technical drawings, transferring visual or mental 3D images into 2D drawings. Students begin with traditional board skills before being introduced to 2D CAD software. Laser engravers will be introduced to prototype students' designs as a method of rapid prototyping.  Students will learn how to set up, use, and troubleshoot this equipment. Students with an interest in design or engineering would benefit from this course.","Credits: 2.5
Grade Levels: 10:11:12:","No Prerequisites
Course Highlights:
Hand Drafting
Drawing Geometry
Orthographic Drawing
2D CAD: AutoCAD"
H19110,Technology,Engineering In The 21st Century,"Throughout the year students will engage themselves in all different types of projects and coursework. The focus of this class is to give students a hands-on look at being a prospective engineering student in college and to actively engage in character education exercises. Students will be presented a problem, design and building solutions, and test their prototypes. Students will also explore different things that will help them become better members of the school community. Cooperative learning is encouraged but students will be graded on their own work.","Credits: 5.0
Grade Levels: 09:","No Prerequisites
Course Highlights:
Design Loop
Power Tool Safety
Insulation Replacements
Pneumatics vs. Hydraulics
3D CAD Drawings
Alternate Energy Production
Solar Cooker / Water Distillation"
H19010,Technology,Engineering Technology,"If you think you want to be an engineer this course is for you! Engineering Technology is designed to be a pre-engineering experience. In a fun, hands-on, interactive environment, students will explore multiple engineering disciplines. Students will actively participate in this lab-based course to solve problems in Civil, Mechanical, and Environmental Engineering while using the design loop. Students will be challenged to utilize multiple engineering tools spanning from the Internet for research to hand and power tools to model their solutions","Credits: 5.0
Grade Levels: 10:11:12:","No Prerequisites
Course Highlights:
Design Loop and Documentation Process
Power Tool Safety Proficiency Project
CO2 Crash Cars
Tire Tread Designs
Simple Machines and Drawbridge Project
Mechanisms and Motion Project
Projectile Motion Project
Greenhouse and Hydroponics Design"
H19011,Technology,Introduction to Electrical Trades,"The 'Introduction to Electrical Trades' course introduces high school students to the essential skills and safety protocols required for entry-level positions in the electrical field. Through hands-on practice, students will learn to safely install and troubleshoot electrical systems, focusing on foundational tasks such as wiring outlets, light switches, and ceiling fans, including complex configurations like 3-way switch systems. This course emphasizes tool use, blueprint reading, and problem-solving, providing students with an authentic learning experience in the electrical trade that builds confidence and foundational industry knowledge.","Credits: 2.5
Grade Levels: 10:11:12:",No Prerequisites
H19198,Technology,Senior Architecture,"This course will begin with an overview of design fundamentals while students create plans for a specific client. Students will learn and practice the construction process by producing a framing model of their design. Students will participate in real-world inspired challenges to gain experience producing residential and commercial designs. Students will develop a college portfolio using traditional modeling techniques as well as rapid prototyping equipment, such as 3D printers and laser engravers, to produce their designs.","Credits: 5.0
Grade Levels: 11:12:","Prerequisites: Architecture 1
Course Highlights:
Plan Development
Construction Framing
Realistic Modeling
Commercial Architecture
Client Based Design
Portfolio Development"
H19067,Technology,Studio Production For Television,"This course will focus on the production of a television show for the South Brunswick School District. Students will investigate the various responsibilities and requirements of producing a show for television. There will be a focus on the ""behind the scenes"" aspects of television production, scriptwriting, and segment planning. Students will work together as a production crew to develop the show ""Making the Grade,"" a monthly segment focusing on the successes of students and staff in the South Brunswick School District.","Credits: 5.0
Grade Levels: 11:12:
Additional GPA Weight: Honors 0.5","Prerequisites: Advanced Video Production Technology or Teacher Interview
Course Highlights:
Investigative journalism
Documentary style video production
On location interviews
Long-form visual storytelling
Adobe Creative Cloud Apps"
H19166,Technology,Technology In The 21st Century,"This engaging and hands-on course is crafted to provide you with a comprehensive foundation in Industrial Design, Engineering, Prototyping, and Manufacturing Technologies. Throughout the year, you will delve into various key topics at the forefront of modern technology. The main focus areas include Engineering Drawing, AutoCAD, OnShape, The Engineering Design Process, Prototyping, 3D Printing, Laser Cutting, and Graphic Design. By the end of this course, you will have acquired a wealth of knowledge and practical skills that will serve as a solid foundation for your journey through the other advanced technology and engineering courses offered in the SBHS Technology Education department. Whether you envision a future in engineering, architecture, product design, or any other technology-driven field, this course will empower you to turn your ideas into reality. Get ready to explore, innovate, and shape the future of technology!","Credits: 5.0
Grade Levels: 09:","No Prerequisites
Course Highlights:
Prototyping
Industrial Design
Engineering Design & Drawing
Manufacturing Technologies
Graphic Design"
H19042,Technology,Video And Communications Technology,"This course is designed to help students become effective communicators. Students are introduced to the modern strategies of relaying information while using print and video equipment. Through projects, the skills of planning, producing, and critiquing videos are developed. Students will be challenged to combine their technical and creative abilities in order to produce assignments. After successfully completing this course, students will be able to assist in productions for the Viking Television Network.

Viking Television Network

Viking Television Network","Credits: 5.0
Grade Levels: 10:11:12:","No Prerequisites
Course Highlights:
Adobe Creative Cloud Apps
Building Creativity
Understanding Communication
Tools of the Trade
Principles of Design/Composition
Storyboards & Script
Digital Editing
Audio Tools and techniques
Special Effects"
H19142,Technology,Video In The 21st Century,"Students are introduced to the modern strategies of relaying information while using print and video equipment. Through projects, the skills of planning, producing, and critiquing videos are developed. Students will be challenged to combine their technical and creative abilities in order to produce assignments. After successfully completing this course, students will be able to assist in productions for the Viking Television Network.

Viking Television Network

Viking Television Network","Credits: 5.0
Grade Levels: 09:","No Prerequisites
Course Highlights:
Building Creativity
Character Education
Understanding Communication
Tools of the Trade
Principles of Design/Composition
Storyboards & Script
Digital Editing
Audio Tools and techniques
Special Effects"
H19025,Technology,Vocational Trades Exp in the 21st Century,"This course delivers specific, trade-focused, hands-on coursework and exploration for occupations such as electronics, manufacturing, wood-working, plumbing, and more. This course is geared toward helping students identify areas of interest, get employment-ready skills and knowledge for particular occupations. Students will gain experience in a variety of vocational trades through a hands-on, project-based approach to learning.","Credits: 5.0
Grade Levels: 09:10:11:12:","No Prerequisites
Course Highlights:
Carpentry
Electrician
Plumbing
Career Exploration
Building Code
Hands-on training
Home construction"
H19026,Technology,Vocational Trades Exploration,"This course delivers specific, trade-focused, hands-on coursework and exploration for occupations such as electronics, manufacturing, wood-working, plumbing, and more. This course is geared toward helping students identify areas of interest, get employment-ready skills and knowledge for particular occupations. Students will gain experience in a variety of vocational trades through a hands-on, project-based approach to learning.","Credits: 5.0
Grade Levels: 10:11:12:",No Prerequisites
H19202,Technology,VTN Broadcast Journalism - Semester,"Students will be responsible for informing S.B.H.S. and the surrounding community of important events, activities, and accomplishments through Viking Television Network's Morning Announcements. Video journalism, newsgathering, and studio production skills will be fine-tuned while producing the five-minute ""live"" program. The class will explore various journalistic approaches, study the rights of the press, and evaluate their show's effectiveness in informing the community.","Credits: 2.5
Grade Levels: 11:12:","No Prerequisites
Course Highlights:
Control Room Equipment
Broadcast Positions
Segment/Video Productions
Entertaining Vs. Informing Audience
News Video Introductions
Studio Lighting Techniques
Segment Work"
H19047,Technology,VTN Broadcast Journalism Technology,"Students will be responsible for informing S.B.H.S. and the surrounding community of important events, activities, and accomplishments through Viking Television Network's Morning Announcements. Video journalism, newsgathering, and studio production skills will be fine-tuned while producing the five-minute 'live' program. The class will explore various journalistic approaches, study the rights of the press, and evaluate their show's effectiveness in informing the community.","Credits: 5.0
Grade Levels: 11:12:","No Prerequisites
Course Highlights:
Control Room Equipment
Broadcast Positions
Segment/Video Productions
Entertaining Vs. Informing Audience
News Video Introductions
Studio Lighting Techniques
Segment Work"
H15056,World Languages,AP French V,"Level V Advanced Placement is the Advanced Placement Course geared towards enabling the students to reach a greater proficiency in the French language. The course is conducted entirely in French and students use the language exclusively in class. Listening, reading, speaking and writing is continually strengthened as topics relevant to student's interests are studied. Many contemporary themes taken from short stories and poetry in French serve as a stimulus for extensive exploration. Plays and a novelette in the target language are read and discussed. Students explore the material presented by reading several pages on a daily basis and by writing about what has been read and discussed in class. Films also serve as discussion prompts in the target language. Possible films in French Nos Enfants Nous Accuseront and Entre Les Murs.
Summer AssignmentStudents will be assigned a set of reading, listening, and speaking practice review activities. Students will utilize a journal to practice their French skills and their personal growth and thoughts.
Approximate time: Maximum of 30 hours
Advanced Placement (AP)Learn all about the course and exam","Credits: 5.0
Grade Levels: 12:
Additional GPA Weight: AP/College 1.0","Prerequisites: 88% or better in Honors French IV and teacher recommendation
Course Highlights:
Global Challenges
Science & Technology
Contemporary Life
Personal and Public Identities
Families & Communities
Beauty & Aesthetics"
